tenure_id,person_id,org_id,role,start_date,end_date,date_precision,status,source_id,notes,track,line_style,x_offset
baburam_fourth_congress,baburam_bhattarai,ncp_fourth_congress,党员,1981-01-01,1983-11-01,mixed,reported,WTY-P52-P59,1981年经尼莫·拉玛介绍加入；1983年11月参加另建Masal,political,solid,0.16
baburam_masal,baburam_bhattarai,ncp_masal,全职干部／主要成员,1983-11-01,1991-01-01,mixed,reported,WTY-P36-P39,参与1983年另建；1986年完成学业回国后成为全职干部；1991年脱离并加入团结中心,political,solid,0.16
baburam_unity_centre,baburam_bhattarai,ncp_unity_centre,主要领导人,1991-01-01,1994-05-01,year,uncertain,WTY-P39-P43,1991年带领Masal一小部分加入；1994年与普拉昌达另立同名组织,political,dash,0.16
baburam_people_front,baburam_bhattarai,united_peoples_front,召集人／主席,1991-01-01,1995-03-01,mixed,reported,WTY-P52-P59,1991年初任召集人；8月17日重建并任主席；1995年与普拉昌达派共同建立尼共（毛）,front,solid,0
baburam_unity_faction,baburam_bhattarai,ncp_unity_centre_prachanda,主要领导人,1994-05-01,1995-03-01,mixed,uncertain,WTY-P47-P51,与普拉昌达另立同名团结中心；确切分裂日未载,political,dash,0.16
baburam_maoist,baburam_bhattarai,ncp_maoist,主要领导人／党内二号领导人,1995-03-01,2012-12-31,mixed,uncertain,WTY-P52-P59,书中称尼共（毛）创立后一直是仅次于普拉昌达的领导人；终点为当前图示边界,political,dash,0.16
amatya_ncp_leadership,tulsi_lal_amatya,ncp_unified,中央领导人,1960-01-01,1962-04-01,mixed,uncertain,WTY-P30,1960年党禁后被迫转移印度；书中未给出进入领导层的确切日期,political,dash,0.16
amatya_branch_leadership,tulsi_lal_amatya,ncp_amatya,总书记／主要领导人,1962-04-01,1992-01-01,mixed,reported,WTY-P30;WTY-P33-P34,1962年三大当选总书记；1968年后其党称尼共（阿玛提亚）；1992年并入尼共（联合）,political,solid,0.16
amatya_united,tulsi_lal_amatya,ncp_united_1991,合并方领导人,1992-01-01,1993-01-01,year,uncertain,WTY-P32-P34,1992年阿玛提亚派并入尼共（联合）；一年后部分成员脱离,political,dash,0.16
nirmal_fourth_congress,nirmal_lama,ncp_fourth_congress,创建者／1978年起任总书记,1974-09-15,1990-11-19,mixed,reported,WTY-P36-P43,与辛格共同创建；1978年任总书记；1983年辛格另立Masal后继续领导四大派；1990年参与组建团结中心,political,solid,0
nirmal_unity_centre,nirmal_lama,ncp_unity_centre,创建者／主要领导人,1990-11-19,1994-05-01,mixed,uncertain,WTY-P47-P51,其四大派参与组建团结中心；1994年路线斗争后被清除出党,political,dash,0
vaidya_fourth_congress,mohan_vaidya,ncp_fourth_congress,中央委员,1974-09-15,1983-11-01,mixed,reported,WTY-P36-P43,书中列入四大成立时的中央委员；1983年随辛格另建Masal,political,solid,0.16
vaidya_masal,mohan_vaidya,ncp_masal,领导人／1985年当选总书记,1983-11-01,1985-07-01,mixed,uncertain,WTY-P36-P43,参与另建Masal；1985年五大当选总书记，随后另立Mashal,political,dash,0.16
vaidya_mashal,mohan_vaidya,ncp_mashal,创建者／总书记,1985-07-01,1989-01-01,mixed,uncertain,WTY-P36-P43,1985年另立Mashal；1989年由普拉昌达接任总书记；月份为图示定位,political,dash,0.16
pradhan_pushpa_lal,sahana_pradhan,ncp_pushpa_lal,主要领导人,1978-07-22,1987-01-01,mixed,reported,WTY-P33,什雷斯塔去世后接管党务；1987年同阿迪卡里党的一部分合并组建尼共（马）,political,solid,0.16
pradhan_marxist,sahana_pradhan,ncp_marxist,创建者／主要领导人,1987-01-01,1991-01-01,year,reported,WTY-P33,领导尼共（普·拉）与统一大会一部分合并组建；1991年参与组建联合马列,political,solid,0.16
pradhan_uml_first,sahana_pradhan,ncp_uml,领导成员,1991-01-01,1998-01-01,year,uncertain,WTY-P33,由尼共（马）并入；1998年联合马列分裂后另组尼共（马列主义者）,political,dash,0.16
pradhan_marxist_leninist,sahana_pradhan,ncp_marxist_leninist_1998,创建者／主要领导人,1998-01-01,2002-01-01,year,reported,WTY-P33,与联合马列的一部分党员组建；2002年并回联合马列,political,solid,0
pradhan_uml_return,sahana_pradhan,ncp_uml,中央委员／制宪议会代表,2002-01-01,2008-04-01,mixed,uncertain,WTY-P33,2002年并回；2003年进入中央委员会；2008年4月当选制宪议会代表,political,dash,0.16
bhandari_liberation_front,madan_bhandari,liberation_front_group,创建者／学生领袖,1976-01-01,1977-01-01,year,reported,WTY-P33,带领部分党员离开尼共（普·拉）后组建；1977年并入全尼泊尔共产主义革命协调委员会（马列主义者）,political,solid,0
bhandari_ml,madan_bhandari,ncp_ml,主要创始人／1986年起任总书记,1977-01-01,1991-01-01,year,uncertain,WTY-P33,解放阵线团体1977年并入协调委员会；后来成为尼共（马列）主要创始人之一,political,dash,0.16
bhandari_uml,madan_bhandari,ncp_uml,总书记,1991-01-01,1993-01-01,year,reported,WTY-P33,联合组建联合马列后任总书记；1993年因车祸去世,political,solid,0
manandhar_raimajhi,bishnu_manandhar,ncp_raimajhi,政治局委员,1979-04-01,1981-01-01,mixed,reported,WTY-P32,学潮期间主张反对国王专制并同腊伊玛吉冲突；1981年带领多数党员脱离,political,solid,0.16
manandhar_party,bishnu_manandhar,ncp_manandhar,创建者／总书记,1981-01-01,1991-07-01,mixed,reported,WTY-P32,1981年另立；1991年改名尼共（民主派），随后参与组建尼共（联合）,political,solid,0
manandhar_united,bishnu_manandhar,ncp_united_1991,总书记,1991-07-01,2005-01-01,mixed,uncertain,WTY-P32,民主派同布尔玛派和阿玛提亚派合并；1993年部分合并方离开后继续沿用尼共（联合）名称至2005年,political,dash,0
burma_raimajhi,krishna_raj_burma,ncp_raimajhi,共同总书记,1983-01-01,1983-07-01,year,uncertain,WTY-P32,1983年五大与腊伊玛吉同任总书记，同年将腊伊玛吉开除；月份仅为图示定位,political,dash,0.16
burma_party,krishna_raj_burma,ncp_burma,主要领导人,1983-07-01,1991-07-01,mixed,uncertain,WTY-P32,腊伊玛吉被开除后的组织被称为布尔玛派；1991年参与组建尼共（联合）,political,dash,0
burma_united,krishna_raj_burma,ncp_united_1991,合并方领导人,1991-07-01,1993-01-01,mixed,uncertain,WTY-P32,与民主派和阿玛提亚派合并；1993年参选失败后脱离并加入联合马列,political,dash,-0.16
